Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
2019-02-21,1914.75,1914.75,1940.0,1897.05,1912.0,1914.2,1922.84,4683919,9006448535.1,171685
2019-02-22,1914.2,1917.2,1930.0,1905.1,1929.0,1925.65,1920.72,2271955,4363786271.2,112148
2019-02-25,1925.65,1932.5,1990.0,1930.5,1987.0,1985.15,1961.61,2934880,5757094593.05,140541
2019-02-26,1985.15,1984.0,2045.15,1972.25,2032.5,2038.7,2022.12,6453309,13049353836.2,177907
2019-02-27,2038.7,2040.0,2074.95,2022.0,2052.5,2058.1,2050.25,4732082,9701947351.0,168823
2019-02-28,2058.1,2060.0,2071.35,1977.6,1983.5,1983.45,2009.42,8454295,16988212894.85,284872
2019-03-01,1983.45,1995.05,2005.0,1980.35,1995.0,1995.4,1993.73,4148548,8271064290.35,128204
2019-03-05,1995.4,2005.0,2007.0,1976.6,1985.05,1988.1,1987.11,2449622,4867670461.5,151723
2019-03-06,1988.1,1989.3,2015.0,1985.05,2005.0,1999.6,2001.3,2635047,5273530564.35,179625
2019-03-07,1999.6,2005.0,2024.05,2000.2,2015.0,2013.3,2014.4,2539884,5116330320.4,126121
2019-03-08,2013.3,2025.0,2033.0,2010.05,2022.75,2022.7,2023.03,2031071,4108921516.4,116872
2019-03-11,2022.7,2028.9,2033.0,2003.65,2016.15,2014.8,2017.1,3111689,6276593842.1,104833
2019-03-12,2014.8,2014.05,2024.8,2003.0,2009.1,2012.45,2015.6,2658550,5358583632.5,132223
2019-03-13,2012.45,2013.0,2015.9,1978.6,1995.0,2000.5,2001.12,1833163,3668374639.65,112785
2019-03-14,2000.5,2004.95,2007.8,1981.0,1990.4,1987.4,1991.28,1905495,3794368663.95,124863
2019-03-15,1987.4,1998.9,2068.95,1991.0,2036.0,2039.95,2040.01,5184318,10576085296.25,164284
2019-03-18,2039.95,2043.0,2064.6,2011.0,2023.85,2022.8,2033.02,2349915,4777435477.2,116385
2019-03-19,2022.8,2030.0,2030.0,1995.1,2028.5,2022.8,2010.71,2373993,4773416985.45,135360
2019-03-20,2022.8,2028.0,2044.8,2000.0,2000.25,2015.05,2025.82,3091165,6262136193.4,161415
2019-03-22,2015.05,2015.0,2016.0,1983.3,2010.0,2005.65,1998.96,3148149,6293031836.95,155770
2019-03-25,2005.65,2007.8,2007.8,1977.2,1980.8,1984.25,1987.88,2429205,4828960486.25,94852
2019-03-26,1984.25,1984.0,1994.95,1958.05,1977.4,1982.65,1971.46,2316539,4566962637.55,114153
2019-03-27,1982.65,1994.0,1998.0,1961.0,1964.85,1967.9,1979.12,2266166,4485003551.4,110306
2019-03-28,1967.9,1980.0,2014.6,1972.8,2004.45,2000.3,1993.96,4054489,8084506923.2,144600
2019-03-29,2000.3,2019.0,2024.9,1983.55,2000.0,2001.65,2001.7,2948955,5902926700.5,134193
2019-04-01,2001.65,2010.0,2039.95,2008.25,2034.95,2031.65,2027.91,2095740,4249964902.45,109983
2019-04-02,2031.65,2037.1,2086.0,2037.0,2079.0,2079.3,2064.13,3719663,7677855817.15,124157
2019-04-03,2079.3,2085.0,2089.6,2058.1,2078.15,2079.3,2073.86,2939886,6096919299.4,119988
2019-04-04,2079.3,2078.15,2079.7,2007.4,2017.0,2014.5,2039.77,4397518,8969909268.7,145227
2019-04-05,2014.5,2028.65,2054.4,2018.8,2051.0,2048.3,2037.19,3152103,6421435439.6,96704
2019-04-08,2048.3,2059.0,2075.0,2032.7,2073.6,2070.75,2056.64,2194294,4512880260.6,130397
2019-04-09,2070.75,2070.0,2098.0,2057.65,2087.45,2091.5,2085.63,2690970,5612369594.4,122603
2019-04-10,2091.5,2083.0,2085.5,2036.0,2043.65,2040.25,2053.91,3313062,6804718227.45,168190
2019-04-11,2040.25,2045.0,2055.0,2013.65,2025.0,2019.5,2028.47,3422442,6942308979.4,133153
2019-04-12,2019.5,2038.0,2039.0,2007.0,2013.05,2014.5,2019.97,3198471,6460808051.55,126989
2019-04-15,2014.5,2070.0,2119.8,2041.0,2113.0,2113.3,2086.02,9189201,19168862828.05,282918
2019-04-16,2113.3,2120.0,2155.95,2115.55,2137.0,2131.8,2137.54,5771952,12337757819.75,222230
2019-04-18,2131.8,2149.9,2155.0,2114.2,2149.25,2150.05,2138.81,3413728,7301311595.85,159168
2019-04-22,2150.05,2148.0,2176.0,2145.6,2160.3,2161.45,2165.74,2007135,4346926221.0,79881
2019-04-23,2161.45,2163.0,2165.5,2134.05,2163.0,2155.05,2147.21,2163524,4645533581.75,88782
2019-04-24,2155.05,2158.0,2195.0,2156.1,2168.6,2183.45,2172.32,3003071,6523621909.9,128669
2019-04-25,2183.45,2175.0,2205.0,2168.05,2203.0,2195.0,2189.55,4211526,9221344246.45,108403
2019-04-26,2195.0,2203.0,2243.95,2193.15,2231.1,2238.55,2225.36,2716958,6046198155.6,110079
2019-04-30,2238.55,2238.55,2266.95,2230.1,2256.25,2260.35,2252.48,3488395,7857544875.95,135194
2019-05-02,2260.35,2255.0,2259.4,2211.1,2214.7,2215.4,2227.88,2457699,5475449034.65,106215
2019-05-03,2215.4,2185.0,2186.05,2125.0,2137.0,2132.0,2153.0,3780886,8140257404.35,188561
2019-05-06,2132.0,2110.0,2165.0,2108.5,2155.2,2157.85,2150.11,2891422,6216881349.35,109314
2019-05-07,2157.85,2160.05,2184.35,2138.8,2154.0,2151.95,2163.53,2201698,4763441089.75,86096
2019-05-08,2151.95,2151.0,2168.0,2130.4,2156.0,2152.85,2151.85,1824895,3926902424.6,77713
2019-05-09,2152.85,2145.0,2184.1,2136.1,2171.2,2172.55,2166.98,2264162,4906404979.4,106297
2019-05-10,2172.55,2175.0,2192.0,2125.85,2130.25,2135.8,2161.83,2039633,4409349005.65,85446
2019-05-13,2135.8,2133.0,2167.0,2121.65,2134.0,2128.75,2143.87,1701744,3648325263.15,74014
2019-05-14,2128.75,2135.0,2159.8,2072.35,2095.8,2092.35,2101.14,2456110,5160632655.8,118567
2019-05-15,2092.35,2097.0,2124.0,2084.5,2095.0,2095.4,2103.66,2346876,4937022681.65,119315
2019-05-16,2095.4,2096.0,2124.0,2077.05,2111.5,2108.75,2107.55,1946529,4102397614.2,118994
2019-05-17,2108.75,2112.6,2135.0,2090.0,2094.0,2095.45,2107.34,1947908,4104894878.95,85798
2019-05-20,2095.45,2125.0,2151.4,2050.0,2148.0,2143.95,2119.5,2625116,5563937035.6,112038
2019-05-21,2143.95,2148.05,2148.7,2102.55,2106.2,2109.75,2122.37,1863157,3954316658.75,100432
2019-05-22,2109.75,2110.0,2121.95,2075.0,2090.0,2081.75,2091.31,2595795,5428609876.35,154844
2019-05-23,2081.75,2098.0,2115.35,2050.0,2057.0,2054.05,2071.74,2541294,5264898713.65,122224
2019-05-24,2054.05,2070.0,2070.0,2032.25,2050.0,2048.0,2051.14,2274208,4664725693.15,114179
2019-05-27,2048.0,2054.8,2068.95,2040.1,2058.0,2055.15,2054.87,2329820,4787473257.7,85924
